Label,Prediction,Probabilities
0,0,[      6.451      -1.733    -0.35168]
0,0,[      16.22     -4.7462      -1.903]
0,0,[     11.669      -3.448     -1.0359]
0,0,[     10.594     -3.0123     -1.0114]
0,0,[     13.782     -3.9615     -1.5701]
0,0,[     7.7784     -2.1268    -0.59013]
0,0,[       13.5     -3.9006     -1.4901]
0,0,[     12.107     -3.4536     -1.2881]
0,0,[     3.3687    -0.63434   -0.087539]
0,0,[     6.8184     -1.8158    -0.47063]
0,0,[     6.7128      -1.794    -0.43677]
0,0,[      18.39     -5.4517     -2.2028]
0,0,[     24.291     -7.3549     -3.0091]
0,0,[     19.442     -5.8081     -2.3159]
0,0,[      24.53     -7.4936     -2.9478]
0,2,[    -1.4216    -0.60177      2.0504]
0,0,[     10.146     -2.8468     -0.9828]
0,0,[     1.0382     0.10861     0.25253]
0,0,[     9.6161     -2.6786     -0.9158]
0,0,[     4.6957     -1.0747    -0.25291]
0,0,[     23.871     -7.1968      -2.989]
0,0,[     10.811     -3.0489     -1.0965]
0,0,[      13.32     -3.8732     -1.4176]
0,2,[    -0.8118    -0.89475      2.6643]
0,0,[     15.242     -4.4535     -1.7414]
0,0,[     12.405     -3.5995     -1.2587]
0,0,[     9.5597     -2.8403    -0.62826]
0,0,[     20.693     -6.2483     -2.4336]
0,0,[     8.8714     -2.5073    -0.70035]
0,0,[     18.201     -5.4145      -2.141]
0,0,[      18.66     -5.5944     -2.1539]
0,0,[     15.014     -4.3826     -1.6996]
0,1,[    -1.0124     0.65116    -0.13337]
0,0,[     6.2541     -1.6072    -0.42937]
0,0,[      23.62      -7.191     -2.8405]
0,0,[     11.654      -3.279     -1.2741]
0,0,[     6.3626     -1.8234    -0.15551]
0,0,[     7.7915      -2.107    -0.62516]
0,0,[     17.369      -5.231     -1.8898]
0,1,[    -1.9198      1.3495     -1.5505]
0,0,[     12.793     -3.6597     -1.4105]
0,0,[     7.0488     -1.8915    -0.49924]
0,0,[     15.821      -4.625     -1.8403]
0,0,[     13.363      -3.867     -1.4609]
0,0,[     7.5458     -1.9952    -0.64204]
0,2,[    0.22748     0.19284     0.62685]
0,0,[     18.627     -5.5309     -2.2344]
0,0,[      14.27     -4.2404      -1.454]
0,0,[     10.635     -2.9836     -1.0842]
0,0,[     6.1031     -1.5004    -0.48635]
0,1,[    -1.3414     0.71741    -0.32192]
0,0,[     6.0568     -1.5968    -0.32344]
0,0,[     11.365     -3.2443     -1.1458]
0,0,[     14.916     -4.3854     -1.6372]
0,0,[     9.0857     -2.5697    -0.73937]
0,0,[     11.626     -3.3284      -1.188]
0,1,[   -0.29178     0.71774   -0.071845]
0,0,[     27.761     -8.5092     -3.4341]
0,0,[     10.794     -3.0913     -1.0267]
0,0,[     13.731     -3.9638     -1.5318]
0,0,[     4.0633    -0.91397    -0.10858]
0,0,[     10.936     -3.1676    -0.99563]
0,0,[     9.6047     -2.7026    -0.86156]
0,0,[     16.672     -4.9654     -1.8652]
0,0,[     1.9611    -0.36856     0.38992]
0,1,[    -2.4824      1.6523     -2.1172]
0,0,[     17.662      -5.331     -1.9297]
0,0,[     12.755     -3.7291     -1.2804]
0,0,[     17.286      -5.118     -2.0067]
0,0,[     12.507     -3.7063     -1.1726]
0,0,[     10.258     -2.8281     -1.0784]
0,0,[     20.483     -6.1291     -2.4833]
0,0,[     10.688     -2.9913     -1.1091]
0,0,[     16.842     -5.0435     -1.8552]
0,0,[     17.951     -5.3649     -2.0521]
0,0,[     10.318     -2.9613    -0.93296]
0,0,[     10.082     -2.7891     -1.0353]
0,0,[     9.1602     -2.4797    -0.92058]
0,0,[     10.261      -2.823     -1.0931]
0,0,[      15.13     -4.5131     -1.5972]
0,0,[     22.254     -6.7107     -2.7172]
0,0,[     6.5917     -1.6978    -0.50055]
0,0,[     6.1841     -1.6427    -0.32413]
0,0,[     16.955     -5.0843      -1.859]
0,2,[     0.4441   -0.010411     0.82767]
0,2,[   0.075365   -0.030817      1.0999]
0,0,[     8.0162     -2.1431    -0.72309]
0,0,[     16.062     -4.7552     -1.7971]
0,0,[     17.633     -5.2513     -2.0266]
0,0,[     17.119     -5.0591     -1.9998]
0,0,[     21.272      -6.459     -2.4721]
0,0,[     15.255     -4.4846     -1.7059]
0,0,[     19.295     -5.8479     -2.1677]
0,0,[      15.92     -4.7127     -1.7727]
0,0,[     20.527     -6.1815      -2.433]
0,2,[   -0.18993     0.35326     0.37463]
0,0,[     18.963       -5.71     -2.1707]
0,0,[     8.7395     -2.4207    -0.75285]
0,0,[     19.517     -5.8271     -2.3333]
0,0,[     20.028     -6.0197     -2.3656]
0,0,[     18.102     -5.4149     -2.0743]
0,0,[     1.2038    0.062559     0.22256]
0,0,[     19.368     -5.7748      -2.323]
0,0,[     15.702     -4.6064     -1.7936]
