Label,Prediction,Probabilities
0,0,[     6.0333     -3.7681     -2.0675]
0,0,[     4.2291     -1.7104      -2.369]
0,0,[     4.5375     -3.0865     -1.4193]
0,0,[     7.1784     -5.3749     -2.4329]
0,0,[     3.1728     0.54331     -3.6457]
0,0,[     6.8972     -3.8968     -3.0795]
0,0,[       5.87     -2.8385     -2.9526]
0,0,[     6.6827     -3.0627     -4.2334]
0,0,[     5.8116     -3.5987     -2.4817]
0,0,[    0.43782     0.39269     -1.3145]
0,0,[     3.1367      -1.095     -1.8559]
0,0,[     4.4202     -2.2468     -2.8116]
0,0,[     6.8082     -4.1381     -2.2786]
0,0,[     6.5833     -4.1951     -2.9842]
0,0,[     6.9502     -4.0817     -3.4685]
0,0,[     4.1372     -2.0223     -2.0748]
0,0,[     1.1938     0.80212     -2.0538]
0,0,[     7.5468     -4.2293      -2.604]
0,0,[     8.4093     -5.3423       -2.93]
0,0,[     8.1226     -4.2585     -3.8347]
0,0,[     5.4537     -3.1144     -1.9461]
0,0,[     3.4557    -0.91315     -2.6805]
0,0,[     5.5381     -4.0589     -2.0765]
0,0,[     4.6632     -1.1447     -3.4684]
0,0,[     5.3449     -2.6303     -2.6534]
0,0,[     6.7909     -3.3882     -3.0902]
0,0,[     5.4296     -2.7283     -2.5126]
0,0,[     8.2734     -4.6978     -3.2758]
0,0,[     2.7981    -0.74405     -2.3313]
0,0,[     5.6281     -3.2913     -1.9109]
0,0,[     3.4543     -1.6688     -2.5808]
0,1,[    -2.5523       1.741    -0.54046]
0,0,[       5.74     -3.0341     -2.7622]
0,0,[     7.6386     -4.9969     -2.4254]
0,0,[     4.4009       -2.61     -1.9782]
0,0,[     4.7386     -1.6723     -3.3881]
0,0,[     4.4415     -2.4476     -2.4182]
0,0,[     6.6212     -3.3901      -2.736]
0,0,[     6.2697     -2.0669     -4.3997]
0,0,[     4.5539     -2.0387     -2.8205]
0,0,[     5.4023     -2.7945     -1.9981]
0,0,[      6.641     -3.0394     -3.2178]
0,0,[      4.158     -3.3563    -0.90302]
0,0,[     6.2879     -3.7519     -2.9794]
0,0,[     6.0772     -3.2753     -3.1414]
0,0,[     3.1925     -1.4422     -2.7718]
0,0,[     5.7848     -2.3251     -3.0389]
0,0,[     8.3827     -5.4048     -2.8785]
0,0,[     5.6866     -3.1904     -2.6546]
0,0,[    0.43254    -0.25872    -0.75523]
0,0,[     7.3945     -3.2652     -2.9055]
0,0,[     6.8866     -2.8308     -3.9259]
0,1,[    -2.6932      1.6764     0.69025]
0,0,[     6.1619     -2.9298     -3.2777]
0,0,[     5.9444     -3.8661     -2.5602]
0,0,[      7.229     -5.3494      -1.916]
0,0,[     5.3206     -2.4669     -2.7403]
0,0,[     5.5021     -2.1753     -2.9585]
0,0,[     7.0621      -3.596     -3.3691]
0,0,[     5.3516     -2.9236     -2.8089]
0,0,[     6.3728     -3.8329     -2.8408]
0,0,[     3.0735     -1.9984    -0.93863]
0,0,[     2.8856     -2.0944    -0.88724]
0,0,[     6.6385     -3.2283     -2.8569]
0,0,[     6.1025     -2.5731     -2.7946]
0,1,[  -0.078642      1.5745       -1.74]
0,0,[     7.6483      -4.436     -3.6798]
0,0,[     8.4257     -5.1569     -3.5036]
0,0,[      6.059     -3.6347     -2.5726]
0,0,[     8.2328      -4.722     -3.6058]
0,0,[     6.7414     -3.2039     -4.4076]
0,0,[     2.2927      0.3197     -2.8363]
0,0,[     7.5757     -4.7319     -3.1483]
0,0,[     7.5424     -2.0856     -4.8593]
0,0,[     2.9189    -0.34511     -2.5189]
0,1,[    0.92478      1.5565     -3.2091]
0,0,[     8.4036     -5.1916     -4.1598]
0,0,[     5.5072     -3.4307     -2.6953]
0,0,[     4.1222     -1.5361     -3.3583]
0,0,[     2.2734     -1.8464    -0.80702]
0,2,[   -0.19144    -0.11664     0.59949]
0,0,[     6.9122     -2.8572     -3.1285]
0,0,[     4.4362     -3.0881      -1.955]
0,0,[     8.2578     -4.5671     -3.3688]
0,0,[     7.3626     -4.7541     -2.7915]
0,0,[      5.057     -3.1915     -2.1627]
0,0,[     3.4798      -2.815    -0.80842]
0,0,[     4.6943     -3.6181     -1.4314]
0,0,[     7.3765      -5.375      -2.095]
0,1,[    -2.3216      3.3693     -1.6419]
0,0,[     5.1825     -2.7704     -2.7474]
0,0,[     1.1211     -2.5974     0.71852]
0,0,[     5.9862     -3.0508     -3.1002]
0,0,[     5.2381      -1.501     -3.6303]
0,0,[     7.3501     -4.2062     -3.2352]
0,0,[      4.735      -3.572     -1.6491]
0,0,[     5.0085     -2.2887     -3.3226]
1,1,[    -2.8042      4.1316     -1.5019]
1,1,[    -3.9043      3.6084       -1.28]
1,1,[    -2.8384      2.0715     0.47791]
1,1,[    -1.7166      2.4305    -0.64536]
1,1,[    -3.7507      3.6594     -1.1085]
1,1,[    -3.1543      2.8282     0.40422]
1,1,[    -3.5117      2.0087      1.1739]
1,1,[   -0.37686       2.364     -2.0049]
1,1,[    -3.8406      2.4485      1.2075]
1,1,[    -2.6977      1.4472     0.33296]
1,1,[    -2.6413      3.9649     -1.4672]
1,1,[    -3.2541      3.4801    -0.77913]
1,1,[    -3.7101      5.5418     -2.3514]
1,1,[     -3.048      3.5421    -0.46833]
1,1,[    -1.3684      2.3077     -1.2061]
1,1,[    -4.9282      2.6225      1.3287]
1,2,[    -3.1669       0.795      1.4904]
1,2,[    -3.1811     0.59454      1.8466]
1,1,[   -0.10183      1.9403      -1.789]
1,1,[    -4.5776      5.3905     -1.0878]
1,1,[    -2.7037      2.0215     0.53055]
1,1,[     -2.439      4.1902     -2.2953]
1,0,[     2.5879    -0.53508      -2.342]
1,1,[    -3.1958      2.1262      1.5358]
1,2,[   -0.44635    -0.18347       1.074]
1,1,[    -2.7037      3.9798     -1.7541]
1,1,[    -3.2464      4.4164     -1.9004]
1,2,[    -4.9732      1.9058      2.5764]
1,0,[     2.5879    -0.53508      -2.342]
1,0,[     4.3363     -3.0261     -1.1809]
1,1,[    -1.9214      4.9957     -3.4394]
1,0,[    0.84435    -0.87736    0.023205]
1,1,[   -0.97738      2.8155     -1.7884]
1,1,[     -3.184       1.759     0.99221]
1,1,[    -2.3358      2.6313     -1.6322]
1,1,[     -2.905      3.8713     -1.7253]
1,1,[    -2.8638      3.7686      -1.716]
1,2,[  -0.066383    -0.68005     0.10746]
1,1,[    -3.6778      2.1061       1.025]
1,1,[    -2.4273      1.0506     0.72637]
1,1,[    -2.2601       1.584     0.36216]
1,1,[    -1.6571      1.4505    0.032831]
1,1,[   -0.70378      2.5116     -1.9635]
1,1,[    -3.2105      3.4829    -0.91889]
1,1,[    -2.3291      1.9559     -0.8766]
1,1,[    -4.3242      4.6316     -1.0491]
1,1,[   -0.11072   -0.072777    -0.14497]
1,1,[     -4.085      1.7129      1.6189]
1,1,[   -0.84754      2.3339     -2.4223]
1,1,[    -2.1152      2.9992     -1.0174]
1,1,[    -4.2011      3.1785     0.49553]
1,2,[    -2.7985     0.47927      1.2646]
1,1,[    -2.3797       1.525     0.52018]
1,1,[    -2.4741      1.6053       1.062]
1,1,[   -0.28007      3.6799      -3.558]
1,1,[    -4.2053      4.3586    -0.73067]
1,1,[    -2.0846     0.86563     0.85609]
1,1,[    -3.4373      2.7717      0.6792]
1,1,[   -0.54793   -0.070717    -0.20431]
1,1,[    -3.0096      4.3937     -1.4206]
1,1,[    -2.0665       2.062    -0.93782]
1,1,[    -5.0562      3.5791      0.1102]
1,1,[    -1.5355      1.7766    0.076432]
1,1,[    -5.2654      4.1424    -0.21147]
1,1,[    -2.7951      2.4109     0.15621]
1,1,[    -5.3285       4.308    0.017264]
1,1,[    -2.3708      3.8454     -2.1344]
1,1,[    -2.4868      1.9673    -0.49427]
1,1,[    -4.1643      2.0234      1.1839]
1,1,[    -3.1788      4.1795     -1.0386]
1,1,[    -2.6977      1.4472     0.33296]
1,1,[    -3.6668      2.1784      1.2256]
1,1,[    -2.0676      3.3338      -1.948]
1,1,[    -3.2245      1.9092      1.0711]
1,1,[    -3.0785       2.962      0.0268]
1,1,[    -1.8855      1.4919     0.23743]
1,1,[    -3.9521      2.0746      1.3627]
1,2,[    -2.6994      1.0772      1.3175]
1,1,[   -0.69092      2.1062     -1.6427]
1,1,[    -2.1949        2.91     -1.3952]
